"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mb.flowspec.comlan18.flowspec.FSLibSpoofaxBenchmark.bench","avgt",1,5,312.424498,74.129773,"ms/op"
"mb.flowspec.comlan18.flowspec.FSLibSpoofaxBenchmark.bench2","avgt",1,5,165.168493,4.459128,"ms/op"
"mb.flowspec.comlan18.flowspec.FSLibSpoofaxBenchmark.benchCFGJava","avgt",1,5,74.961057,1.759781,"ms/op"
"mb.flowspec.comlan18.flowspec.FSLibSpoofaxBenchmark.benchCFGPrimitive","avgt",1,5,81.158568,2.082951,"ms/op"
"mb.flowspec.comlan18.flowspec.FSLibSpoofaxBenchmark.benchCFGStr","avgt",1,5,121.564224,29.950581,"ms/op"
"mb.flowspec.comlan18.flowspec.FSLibSpoofaxBenchmark.benchDFSolving","avgt",1,5,38.246355,0.594773,"ms/op"
